full_fip,year,jurisid,basename,state_name,region,juristype,total_population,resp_1994,enterord_1994,codedate_1994,survey1,survey2_1994,survey3_1994,Jurisdiction,aftjur,title_1994,titlcode_1994,respdate_1994,plan_1994,zoneord_1994,maxdens_1994,maxchg_1994,maxland_1994,othhdlnd_1994,tothdlnd_1994,undevlnd_1994,rzvote_1994,surrjur_1994,anxvote_1994,anxvtyr_1994,anxpol_1994,ugb_1994,ugbyear_1994,pacecont_1994,pctcont_1994,pctcnyr_1994,bpcont_1994,bpcntyr_1994,morat_1994,moratst_1994,moratend_1994,moratind_1994,moratst_A_1994,moratend_A_1994,pmorind_1994,pmorst_1994,pmorend_1994,pmorsm_1994,pmorlg_1994,capst_1994,capend_1994,pmorst_A_1994,pmorend_A_1994,othpvtah_1994,nonproft,hsgauth_1994,purchase_1994,othr1_1994,othr2_1994,county_1994,pastgc_1994,apfo_1994,apfsch_1994,apftrans_1994,apfps_1994,apfwater_1994,apfpark_1994,apfoth_1994,pvtah_1994,densbon_1994,inclpct_1994,inlieu_1994,fasttrak,feewaiv_1994,gcahexmp_1994,apfo_flag,iz_1994,popbin,jurisbin
"1703147774",1994,"1747774","Maywood","IL","Midwest","village",27139,1,1140,11 Jun 94,418,1747,,"Maywood","","",1,11 Apr 94,1,1,.s,.s,,".s",".s",".s",,1,.s,.n,.n,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.n,1,.n,".n","",0,0,1,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,.n,,1,0,2,1
"1703148242",1994,"1748242","Melrose Park","IL","Midwest","village",20859,1,652,14 May 94,419,,,"Melrose Park","","",,14 Apr 94,1,1,1,1,,".s",".s",".s",0,.s,.s,.s,.s,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".s",.s,.s,.s,".s","",0,0,0,.n,.n,.n,.n,.n,.n,.s,.s,.n,.s,.s,,,0,.s,2,1
"1703148892",1994,"1748892","Midlothian","IL","Midwest","village",14372,1,258,03 May 94,420,,,"Midlothian","","",5,11 Apr 94,1,1,2,1,0,"0","0","0",0,.s,.s,.s,.s,.s,.s,0,.n,.n,.n,.n,.s,".n",".n",,.s,.s,,.n,.n,,,.s,.s,.s,.s,".s",.s,.s,.s,".s","",0,,.s,.s,.s,.s,.s,.s,.s,.s,.s,.n,.s,.s,,,,.s,1,1
"1703150647",1994,"1750647","Morton Grove","IL","Midwest","village",22408,1,259,03 May 94,421,,,"Morton Grove","","",1,10 Apr 94,1,1,3,3,0,"0","0","20",0,2,0,.s,2,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",1,.n,.n,".n","",0,0,1,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,.n,,1,0,2,1
"1703151089",1994,"1751089","Mount Prospect","IL","Midwest","village",53170,1,48,15 Apr 94,422,,,"Mount Prospect","","",1,07 Apr 94,1,1,4,3,0,"0","0","25",0,1,.s,.n,.n,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,2,.s,.s,.s,.s,.s,.s,0,.n,.n,.n,.n,,,1,0,3,1
"1703153000",1994,"1753000","Niles","IL","Midwest","village",28284,1,827,16 May 94,1171,,,"Niles","","",10,20 Apr 94,0,1,.s,.s,0,"0",".s","0",0,.s,.s,.s,.s,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,0,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,,,0,0,2,1
"1703153377",1994,"1753377","Norridge","IL","Midwest","village",14459,1,134,24 Apr 94,1384,,,"Norridge","","",9,07 Apr 94,0,1,4,1,0,"0","0","0",0,1,.s,.n,.n,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,0,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,,,0,0,1,1
"1703153481",1994,"1753481","Northbrook","IL","Midwest","village",32308,1,977,23 May 94,423,1748,,"Northbrook","","",1,04 May 94,1,1,2,1,47,"0","47","500",0,1,.s,.n,.n,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,1,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,,,1,0,2,1
"1703153871",1994,"1753871","Northlake","IL","Midwest","city",12505,1,891,20 May 94,424,1749,,"Northlake","","",,02 May 94,1,1,.s,.s,,".s",".s",".s",,.s,.s,.s,.s,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,2,2,1,1,1,1,1,.n,0,.n,.n,.n,.n,,,1,0,1,1
"1703154820",1994,"1754820","Oak Lawn","IL","Midwest","village",56182,1,716,15 May 94,425,,,"Oak Lawn","","",4,17 Apr 94,0,1,4,1,30,"35","65","80",0,1,.s,.n,.n,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,0,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,,,0,0,3,1
